Customer_ID,Gender,Age,Country,Tenure_Months,Account_Type,Balance_RM,Products_Count,Has_CreditCard,Has_Loan,Credit_Score,Active_Member,Complaints_Count,Branch_Visits,Region,Salary_Range,Churn_Status,Churn_Month
C00001,Male,54,Malaysia,7,Prod 1,65895.45,1,1,0,636,1,1,3,Penang,3k-5k,1,Apr-2023
C00002,Male,57,Indonesia,2,Prod 1,333.8,1,1,0,617,0,1,2,Klang Valley,3k-5k,1,Jun-2023
C00003,Male,46,Singapore,15,Prod 2,8401.66,2,1,1,718,0,0,0,Klang Valley,5k-10k,1,Nov-2023
C00004,Female,47,Singapore,80,Prod 1,30941.08,1,0,0,703,1,0,2,Johor,<3k,0,
C00005,Male,71,Malaysia,60,Prod 1,32458.59,1,1,0,640,1,1,2,Johor,3k-5k,0,
C00006,Female,48,Malaysia,78,Prod 1,46155.94,1,1,0,586,1,0,2,Johor,>10k,0,
C00007,Male,40,Malaysia,41,Prod 3,74766.46,3,0,0,688,0,0,0,Sabah/Sarawak,3k-5k,0,
C00008,Female,43,Indonesia,83,Prod 1,93151.56,1,1,0,659,0,0,0,Penang,3k-5k,0,
C00009,Female,38,Singapore,42,Prod 1,52103.67,1,1,0,800,1,0,8,Penang,<3k,0,
C00010,Female,57,Singapore,4,Prod 2,22529.22,2,0,1,645,1,0,7,Klang Valley,<3k,0,
C00011,Female,56,Malaysia,4,Prod 2,64198.82,2,1,1,628,1,0,0,Penang,5k-10k,0,
C00012,Female,43,Indonesia,95,Prod 2,192268.51,2,1,1,566,1,1,2,Klang Valley,3k-5k,0,
C00013,Female,78,Indonesia,65,Prod 2,45509.56,2,0,0,802,1,0,0,Penang,5k-10k,0,
C00014,Male,32,Malaysia,16,Prod 1,146351.9,1,0,0,658,1,0,6,Penang,<3k,0,
C00015,Male,36,Malaysia,84,Prod 1,723.35,1,1,1,674,1,0,3,Klang Valley,5k-10k,0,
C00016,Male,25,Malaysia,6,Prod 2,533.87,2,0,1,821,1,0,6,Klang Valley,5k-10k,0,
C00017,Male,28,Malaysia,67,Prod 3,4510.52,3,1,1,766,0,0,1,Penang,3k-5k,0,
C00018,Male,24,Singapore,119,Prod 1,7294.35,1,1,1,511,0,0,1,Johor,>10k,1,Nov-2023
C00019,Male,46,Malaysia,7,Prod 1,48097.8,1,1,0,770,1,0,1,Johor,<3k,0,
C00020,Male,59,Malaysia,7,Prod 1,4549.25,1,1,0,765,1,0,2,Klang Valley,5k-10k,1,Oct-2023
C00021,Male,26,Singapore,40,Prod 2,6505.35,2,1,1,475,1,1,5,Klang Valley,5k-10k,1,Jul-2023
C00022,Male,53,Malaysia,67,Prod 1,968.17,1,1,0,801,1,3,0,Johor,5k-10k,1,Jun-2023
C00023,Female,46,Malaysia,1,Prod 2,204953.7,2,1,0,592,1,2,2,Sabah/Sarawak,5k-10k,0,
C00024,Male,25,Malaysia,45,Prod 1,4206.0,1,1,0,725,1,0,7,Johor,5k-10k,0,
C00025,Female,36,Malaysia,4,Prod 1,247.03,1,1,0,598,0,0,1,Johor,3k-5k,1,Jan-2023
C00026,Male,51,Singapore,12,Prod 3,5031.9,3,0,1,850,1,0,5,Johor,>10k,0,
C00027,Female,59,Malaysia,77,Prod 2,45404.38,2,1,0,670,1,0,0,Penang,5k-10k,1,Mar-2023
C00028,Female,37,Singapore,81,Prod 1,48297.1,1,1,1,740,0,0,0,Penang,3k-5k,0,
C00029,Female,54,Singapore,80,Prod 1,210.98,1,1,0,665,0,0,1,Johor,3k-5k,1,Aug-2023
C00030,Female,47,Malaysia,3,Prod 1,8993.51,1,1,0,544,0,0,1,Klang Valley,>10k,1,Jun-2023
C00031,Male,60,Singapore,88,Prod 1,4196.22,1,0,0,641,1,0,1,Johor,3k-5k,1,Jan-2023
C00032,Female,77,Malaysia,35,Prod 2,7966.19,2,1,0,509,1,0,3,Penang,5k-10k,1,Aug-2023
C00033,Female,60,Malaysia,41,Prod 2,4910.0,2,1,0,679,0,0,6,Klang Valley,>10k,1,Feb-2023
C00034,Female,39,Indonesia,33,Prod 1,58392.97,1,1,0,629,0,1,0,Johor,5k-10k,1,Aug-2023
C00035,Female,76,Indonesia,99,Prod 1,159090.13,1,1,1,511,1,1,0,Penang,3k-5k,1,Jun-2023
C00036,Male,45,Indonesia,72,Prod 2,2717.62,2,1,1,604,1,0,6,Johor,5k-10k,1,Jun-2023
C00037,Female,52,Malaysia,45,Prod 3,49227.88,3,0,0,541,0,0,0,Sabah/Sarawak,5k-10k,1,Jan-2023
C00038,Male,32,Malaysia,95,Prod 1,28085.97,1,1,0,604,1,1,0,Penang,<3k,1,May-2023
C00039,Female,76,Singapore,91,Prod 1,287.67,1,0,1,634,1,1,0,Johor,5k-10k,0,
C00040,Male,35,Malaysia,0,Prod 2,1351.74,2,0,1,722,1,0,4,Johor,5k-10k,1,Apr-2023
C00041,Female,42,Malaysia,42,Prod 1,15425.23,1,0,0,562,0,0,5,Johor,5k-10k,0,
C00042,Male,56,Malaysia,2,Prod 3,28186.31,3,1,0,567,0,0,0,Johor,3k-5k,1,Jul-2023
C00043,Male,45,Malaysia,18,Prod 2,8185.28,2,1,1,684,1,0,1,Sabah/Sarawak,5k-10k,1,Mar-2023
C00044,Female,50,Indonesia,91,Prod 2,120109.81,2,1,0,656,1,1,2,Klang Valley,<3k,0,
C00045,Female,38,Malaysia,112,Prod 1,344.8,1,1,0,725,1,0,0,Johor,3k-5k,0,
C00046,Female,39,Singapore,12,Prod 4,35279.83,4,1,1,629,1,1,6,Klang Valley,<3k,0,
C00047,Male,41,Malaysia,1,Prod 2,33028.95,2,1,0,705,0,0,0,Johor,5k-10k,0,
C00048,Male,67,Singapore,30,Prod 2,8038.23,2,0,0,359,1,0,3,Johor,>10k,1,Aug-2023
C00049,Female,58,Singapore,21,Prod 3,188444.29,3,0,0,576,1,0,0,Penang,5k-10k,0,
C00050,Female,37,Malaysia,72,Prod 1,6056.41,1,0,1,653,1,1,1,Klang Valley,3k-5k,0,
C00051,Female,37,Indonesia,44,Prod 1,91484.41,1,1,0,639,0,0,0,Klang Valley,<3k,0,
C00052,Male,60,Singapore,30,Prod 1,45620.06,1,1,0,664,1,2,2,Klang Valley,3k-5k,1,Feb-2024
C00053,Female,80,Indonesia,11,Prod 1,173801.93,1,1,1,738,0,0,0,Klang Valley,>10k,0,
C00054,Male,46,Indonesia,95,Prod 1,23501.24,1,1,0,597,1,0,0,Klang Valley,3k-5k,0,
C00055,Male,20,Singapore,13,Prod 2,33826.46,2,0,0,680,0,1,2,Sabah/Sarawak,5k-10k,0,
C00056,Male,41,Indonesia,2,Prod 1,7249.51,1,1,0,626,0,0,0,Johor,3k-5k,1,Jun-2023
C00057,Male,61,Malaysia,55,Prod 2,59053.02,2,0,1,696,0,0,5,Sabah/Sarawak,>10k,0,
C00058,Female,32,Malaysia,19,Prod 1,6752.1,1,1,1,698,1,2,0,Klang Valley,5k-10k,1,Mar-2023
C00059,Male,57,Malaysia,77,Prod 3,8286.3,3,0,0,539,0,0,0,Klang Valley,3k-5k,0,
C00060,Male,40,Malaysia,4,Prod 1,11297.16,1,1,0,684,0,2,2,Penang,<3k,1,Oct-2023
C00061,Male,44,Malaysia,115,Prod 2,75495.43,2,0,0,709,1,0,5,Penang,<3k,0,
C00062,Male,26,Malaysia,9,Prod 2,22476.42,2,1,0,664,0,0,7,Klang Valley,5k-10k,0,
C00063,Female,59,Indonesia,23,Prod 1,5503.3,1,1,0,687,1,0,5,Penang,>10k,0,
C00064,Male,57,Malaysia,42,Prod 3,795.11,3,1,1,666,1,1,3,Klang Valley,>10k,1,Mar-2024
C00065,Male,65,Malaysia,104,Prod 1,86778.17,1,1,1,571,0,0,7,Johor,>10k,1,Dec-2023
C00066,Female,25,Singapore,79,Prod 1,21823.84,1,0,0,603,1,0,1,Sabah/Sarawak,5k-10k,0,
C00067,Female,80,Malaysia,7,Prod 2,15166.78,2,1,0,666,1,0,4,Klang Valley,<3k,0,
C00068,Female,48,Indonesia,36,Prod 1,1407.72,1,0,0,642,0,0,0,Sabah/Sarawak,<3k,1,Apr-2023
C00069,Male,48,Malaysia,51,Prod 1,91417.75,1,1,0,584,1,2,1,Penang,3k-5k,0,
C00070,Female,70,Indonesia,76,Prod 1,27504.63,1,1,1,581,1,0,1,Penang,3k-5k,0,
C00071,Female,50,Singapore,56,Prod 1,201273.03,1,0,0,643,1,0,0,Penang,>10k,0,
C00072,Female,82,Malaysia,39,Prod 2,24370.77,2,0,0,510,0,1,0,Johor,5k-10k,1,Jul-2023
C00073,Female,54,Malaysia,85,Prod 1,2030.23,1,1,1,600,1,1,1,Klang Valley,3k-5k,0,
C00074,Male,31,Indonesia,27,Prod 1,905.52,1,0,1,774,0,0,1,Johor,3k-5k,1,Jan-2024
C00075,Female,39,Singapore,119,Prod 1,134053.55,1,1,1,677,1,0,7,Johor,<3k,0,
C00076,Male,39,Singapore,113,Prod 1,346.45,1,1,0,604,0,2,6,Sabah/Sarawak,>10k,1,Dec-2023
C00077,Male,60,Singapore,76,Prod 1,145759.24,1,0,1,604,1,1,2,Johor,3k-5k,1,Feb-2023
C00078,Male,49,Malaysia,103,Prod 3,90818.44,3,1,0,850,1,2,4,Sabah/Sarawak,<3k,0,
C00079,Male,25,Malaysia,29,Prod 1,174506.61,1,1,0,646,1,0,1,Penang,3k-5k,0,
C00080,Female,65,Malaysia,57,Prod 1,211274.12,1,0,1,703,0,0,0,Klang Valley,3k-5k,0,
C00081,Female,57,Indonesia,15,Prod 1,86667.65,1,1,0,577,1,0,0,Sabah/Sarawak,>10k,0,
C00082,Female,58,Singapore,103,Prod 1,46762.71,1,1,1,699,1,2,0,Penang,3k-5k,1,Aug-2023
C00083,Female,36,Malaysia,41,Prod 2,82057.8,2,1,0,512,1,0,2,Johor,>10k,0,
C00084,Male,43,Malaysia,50,Prod 3,13786.07,3,0,1,610,0,0,5,Klang Valley,5k-10k,0,
C00085,Male,42,Malaysia,100,Prod 3,70819.02,3,1,1,621,0,1,0,Klang Valley,3k-5k,0,
C00086,Female,75,Malaysia,90,Prod 2,3076.56,2,1,1,434,1,0,4,Sabah/Sarawak,3k-5k,1,Apr-2023
C00087,Female,20,Singapore,20,Prod 1,43195.07,1,1,1,696,1,0,2,Penang,3k-5k,0,
C00088,Male,59,Singapore,4,Prod 1,9286.02,1,1,0,599,1,0,1,Klang Valley,3k-5k,1,Jul-2023
C00089,Female,33,Indonesia,8,Prod 1,9724.76,1,1,1,732,1,0,5,Penang,5k-10k,0,
